温度层别,厚度层别,长度层别,宽度上限,宽度下限,钢种层别,,,初始辊速,加速度,水量1,水量2,水量3,水量4,水比1,水比2,水比3,水比4,边腔水比1,边腔水比2,边腔水比3,边腔水比4,初始冷却时间,C水量下限,C水量上限
12,10,2,4100,1000,1,,,1.5,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
12,11,2,4100,1000,1,,,1.5,0,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
12,12,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
12,13,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
12,14,2,4100,1000,1,,,1.5,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
12,15,2,4100,1000,1,,,1.5,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
13,1,2,4100,1000,1,,,2,0.015,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
13,2,2,4100,1000,1,,,2,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
13,3,2,4100,1000,1,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
13,4,2,4100,1000,1,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
13,5,2,4100,1000,1,,,1.8,0.004,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
13,6,2,4100,1000,1,,,1.8,0.004,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
13,7,2,4100,1000,1,,,1.8,0.001,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
13,8,2,4100,1000,1,,,1.8,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,1,75,85
13,9,2,4100,1000,1,,,1.5,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,4,75,85
13,10,2,4100,1000,1,,,1.5,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,7,75,85
13,11,2,4100,1000,1,,,1.5,0,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
13,12,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
13,13,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
13,14,2,4100,1000,1,,,1.5,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
13,15,2,4100,1000,1,,,1.5,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
14,1,2,4100,1000,1,,,2,0.015,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
14,2,2,4100,1000,1,,,2,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
14,3,2,4100,1000,1,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
14,4,2,4100,1000,1,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
14,5,2,4100,1000,1,,,1.8,0.004,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
14,6,2,4100,1000,1,,,1.8,0.004,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
14,7,2,4100,1000,1,,,1.8,0.001,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
14,8,2,4100,1000,1,,,1.8,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
14,9,2,4100,1000,1,,,1.5,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
14,10,2,4100,1000,1,,,1.5,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,1,75,85
14,11,2,4100,1000,1,,,1.5,0,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,5,75,85
14,12,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,7.5,85,95
14,13,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
14,14,2,4100,1000,1,,,1.5,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
14,15,2,4100,1000,1,,,1.5,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
15,1,2,4100,1000,1,,,2,0.015,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
15,2,2,4100,1000,1,,,2,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
15,3,2,4100,1000,1,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
15,4,2,4100,1000,1,,,2,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
15,5,2,4100,1000,1,,,1.8,0.004,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
15,6,2,4100,1000,1,,,1.8,0.004,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
15,7,2,4100,1000,1,,,1.8,0.001,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
15,8,2,4100,1000,1,,,1.8,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
15,9,2,4100,1000,1,,,1.5,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
15,10,2,4100,1000,1,,,1.5,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,1,75,85
15,11,2,4100,1000,1,,,1.5,0,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,5,75,85
15,12,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,7.5,85,95
15,13,2,4100,1000,1,,,1.5,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
15,14,2,4100,1000,1,,,1.5,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
15,15,2,4100,1000,1,,,1.5,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
